FID_Baklaw,OBJECTID,PARCELKEY,PARCELNO,DISTRICT,VDC,WARDNO,GRIDS1,PARCELTY,Shape_Leng,Shape_Area,ParcelNote,PARCELLU,UID,FID_Landus,Area,Class,Zonetype,Remarks,ZoneNo,Maxm_Area
2,5,07000000000000416008607,160,16,86,7.0,70000000.0,0,107.591556117,637.322409877,,0,B2160070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,597.646213047
216,230,0700000000031461608607,3146,16,86,7.0,70000000.0,0,156.156695183,202.999990559,Splited From 143,0,B2163146070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,202.638203244
217,231,0700000000031451608607,3145,16,86,7.0,70000000.0,0,162.09927117,405.999936851,Splited From 143,0,B2173145070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,405.276502761
218,236,0700000000031521608607,3152,16,86,7.0,70000000.0,0,105.113715932,364.000025029,Splited From 93,0,B2183152070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,363.350978734
219,238,0700000000031571608607,3157,16,86,7.0,70000000.0,0,118.126502127,847.000032789,Splited From 89,0,B2193157070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,845.48951534
220,239,0700000000031561608607,3156,16,86,7.0,70000000.0,0,114.904315263,803.759996194,Splited From 89,0,B2203156070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,802.326864611
221,240,0700000000031551608607,3155,16,86,7.0,70000000.0,0,114.031242162,803.766562004,Splited From 89,0,B2213155070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,802.333695
22,29,07000000000015816008607,158,16,86,7.0,70000000.0,0,111.962170246,754.609837518,,0,B22158070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,691.671080001
222,242,0700000000031591608607,3159,16,86,7.0,70000000.0,0,78.4738616174,339.999182217,Splited From 127,0,B2223159070000000,28,106104.198737,Agricultural Zone,Agricultural Zone,Agriculture,ZoneNo 1,339.393332191
223,244,07000000000001316008607,3168,16,86,7.0,70000000.0,0,49.8928786283,51.5725722343,,0,B2233168070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,51.4807687612
224,246,07000000000001316008607,3162,16,86,7.0,70000000.0,0,73.9288258502,320.437717812,,0,B2243162070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,319.868822952
225,247,07000000000001416008607,3169,16,86,7.0,70000000.0,0,76.3917915514,302.470901566,,0,B2253169070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,301.932375417
226,248,07000000000001416008607,3170,16,86,7.0,70000000.0,0,67.7585545802,255.369542597,,0,B2263170070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,254.914967998
227,249,07000000000001516008607,3165,16,86,7.0,70000000.0,0,75.7260642951,278.740915612,,0,B2273165070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,270.829365528
228,251,07000000000001416008607,3163,16,86,7.0,70000000.0,0,58.8703640491,57.3128129323,,0,B2283163070000000,376,84127.5698421,Commercial Zone,Commercial Zone,Commercial,ZoneNo 3,57.2107734298
