FID_Baklaw,OBJECTID,PARCELKEY,PARCELNO,DISTRICT,VDC,WARDNO,GRIDS1,PARCELTY,Shape_Leng,Shape_Area,ParcelNote,PARCELLU,UID,FID_Landus,Area,Class,Zonetype,Remarks,ZoneNo,Maxm_Area
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1937,1281.6267636,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,1281.62676358
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1938,752.102160744,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,752.102160745
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1939,2.25937117175,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,2.25937117267
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1940,0.629523140438,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,0.629523140438
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1941,4.73134025261,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,4.73134026931
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1942,3.82145123747,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,3.821451234
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1943,6.24211614066,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,6.24211616663
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1944,5.55905060054,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,5.55905060244
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1945,7.04916174527,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,7.04916174527
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1946,3.92939954283,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,3.92939955544
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1947,0.153508884864,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,0.153508885142
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1948,0.744363654529,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,0.74436365449
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1949,9.28286218681,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,9.28286217644
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1950,32.8447431166,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,32.8447430781
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1951,3645.85694417,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,3645.85694418
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1952,21843.4030263,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,21843.4030262
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1953,35008.5800228,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,35008.5799904
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1954,39589.0164857,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,39558.6132853
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1955,12090.1791321,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,12090.1791322
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1956,2627.81063608,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,2627.81063612
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1957,4480.43695503,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,4480.43695495
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1958,64175.2363967,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,64175.2363965
-1,0,,0,0,0,,,0,0.0,0.0,,0,,1959,9143.06322253,Riverine and Lakes,Riverine and Lakes,Riverine and Lakes,ZoneNo 10,9143.06322256
